id,start,end,duration,title,medium,camera,action,sound,voice_start,voice_end,voice,evidence
S11,115,127,12,剿与抚,2.5D文书,50mm同一张案，左右两束光；先落一道笔影，再抬起，画外始终无人脸。,“剿”“抚”为后期概念字，不伪装为道光手迹。线性正片继续；互动入口在本镜结束。,两次笔触音，不加游戏确认音；音乐悬置。,116,126,战，还是和？主战与议和的反复，并不是一道脱离时间、兵力和消息的选择题。,解释性归纳
S12,127,137,10,谈判与条件,2.5D物件场面,65mm桌面侧移，文书越过桌面中线又被收回；两侧人影不露面。,只表现交涉的距离；不伪造签约、握手或具体对话。角注：交涉意象。,纸拖过桌面，椅脚一响；三音动机未能收束。,128,136,交涉需要筹码。双方的要求，并不会因为朝廷希望停战，就自动接近。,解释性归纳
S13,137,149,12,命令与道路,2.5D→3D,50mm朱色笔迹局部切35mm队伍过桥；前景桥柱遮挡形成时间省略。,朱迹用不可辨的局部，标示文书意象；中远景队伍真实向桥另一端移动。,最后笔声匹配第一步脚步，继而湿地行军声。,138,148,命令可以迅速写下，军队却必须集结、行进，还要在陌生的战场上协同。,解释性归纳
S14,149,161,12,战争继续,3D＋地理绘景,35mm中远景港口，1841年·东南沿海章内小标；帆穿过岸上屋脊的缺口。,生活空间被军舰遮住；不把多次战役拼成一次连续海战。,海浪转窄水道拍岸；弦乐节拍第一次稳定出现。,150,160,一八四一年，战事沿东南海岸扩展。到了次年，清军在浙东的反攻仍未扭转战局。,史实概述
S15,161,173,12,船能移动，岸不能,3D,50mm贴水横向跟船，远岸炮位慢慢滑出有效画面；不绕船炫技。,展示船体位移、炮位视线与烟障，随后切岸上反打；非战术精确复原。,索具、船身木响、远炮；配乐低于声效。,162,172,差距体现在武器，也体现在机动、训练与组织。战场不会把准备的时间重新交还。,解释性归纳
S16,173,185,12,战后的一角,2.5D／少量3D,65mm固定中景，破损码头、倾斜绳索；远处两个人抬过箱子，水仍拍岸。,停留让观众看到损失；没有新增爆炸、胜负分数或统计面板。,配乐降到单一弦音，听见绳索和脚步。,,,,情绪留白
S17,185,197,12,反复抵达,2.5D文书,85mm同一案角，三次叠化表示不同时间纸页叠起；最后一张覆盖第一张。,纸张堆积必须与三次时间省略对应；不做无限飞纸特效。,每次一声落纸，节拍越来越近；叠化末尾停止。,186,196,新的奏报不断抵达。难的并不只是得到消息，还在于让消息改变已经形成的判断。,解释性归纳
S18,197,211,14,江口打开,3D＋分层绘景,28mm岸侧前景芦苇缓退，显露宽阔江道与弯曲远岸；舰队始终沿同一方向前进。,低岸、洲滩、民船先出现；军舰进入后形成比例压力。1842年·长江。,芦苇、浅水、远帆；音乐换成长音，给大空间呼吸。,198,209,一八四二年，战火进入长江。舰队逼近的，已不仅是海防，也是帝国内部的运输与供给。,史实＋归纳
S19,211,223,12,镇江,3D＋2.5D城岸,50mm隔江观察城岸，近景民船遮挡；城墙在地形上延伸而非悬在水边。,字幕：1842年7月·镇江；远烟后，货船缓慢转向离开。此动作为构图设计。,低鼓只在切入时一次；离岸橹声渐近。,212,222,镇江失守，南京受到威胁。战争的压力，沿着水路传向更深处。,史实概述
S20,223,235,12,江面静下来,3D,65mm水线固定镜头，船从前景经过后留下尾流；远岸南京意象保持朦胧。,等船走出画面再切文书；观众要感到一段不可挽回的时间过去。,所有鼓点退出；只余尾流，旁白停。,,,,情绪留白
S21,235,247,12,条约,2.5D档案电影,65mm纸页特写，沿行文平移，背景保留江面反光；用核准影像或明确转述纸页。,1842年8月29日；四组后期词依次落在画面空白：割地／赔款／通商／协定关税。,纸声后短静；低弦三音主题放慢，不作胜利终止式。,236,246,八月二十九日，《南京条约》签订。割地、赔款、开放通商口岸，战争留下了沉重的代价。,史实
S22,247,259,12,折回开头,2.5D→3D,85mm纸张折痕与首镜匹配，墨线叠化成远处岸线；这一次画面不再被纸盖住。,慢拉远，显出纸之外广阔的水面；不突然跨到1860年开新故事。,主题只回两个音，第三音延迟；潮声重新成为主角。,248,258,回看这场战争，信息的迟滞只是其中一条线索。侵略、军力与制度，共同塑造了结局。,解释性归纳
S23,259,270,11,奏报之外,3D→片尾,35mm江面长留，船已离场，岸上微弱炊烟还在；最后四秒淡入片名与来源简记。,结句后至少两秒不说话；片尾可暂停查看完整来源。,人声近而轻；第三音终于落下但不转明亮大调。,259,266,奏报之外，还有整个世界。新的事实，怎样才能改变旧的判断？,解释性设问
